File Name,Latency,CPU time (sec.),Max Memory (MB),Average Memory (MB),Total Requested Memory (MB),Delta Memory (MB),Max Swap (MB),Max Processes,Max Threads,Run time (sec.),Turnaround time (sec.),Protocols Seen,Number of Hosts,Hosts Used,Host Groups,Exclusive,CPUs,0,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608,16777216
484424.out,0.17,82.52,13.46,13.46,-,-,563,7,9,43,5393,SHM,1,2*cn433.scarf.rl.ac.uk,scarf13,1,1,0.00,5.13,10.54,21.14,42.38,80.50,161.82,305.85,376.06,714.83,1222.32,1686.64,1855.70,2548.06,3125.67,3455.26,4810.60,6201.58,6681.64,7079.14,7251.64,7416.80,7502.41,7160.94,2748.44,2682.47
484396.out,0.11,74.00,13.45,13.45,-,-,563,7,9,47,56841,SHM,1,2*cn332.scarf.rl.ac.uk,scarf11,1,1,0.00,7.75,15.44,31.01,61.24,122.96,240.15,359.05,588.51,1185.19,1985.46,2494.52,2643.01,3620.37,4299.70,4439.66,6201.66,7477.86,8498.20,8668.21,8749.14,8908.05,8597.75,5610.63,3030.23,3016.28
484398.out,0.14,73.54,13.46,13.46,-,-,563,7,9,39,56842,SHM,1,2*cn330.scarf.rl.ac.uk,scarf11,1,1,0.00,7.82,15.14,31.40,48.45,125.12,248.06,312.20,592.59,1181.77,1997.07,2422.95,2595.69,3592.19,4277.25,4540.23,5996.39,7456.91,8212.60,8553.45,8624.35,8928.33,8744.47,5784.08,3007.95,3027.59
484399.out,0.24,77.47,13.46,13.46,-,-,563,7,9,42,56844,SHM,1,2*cn340.scarf.rl.ac.uk,scarf11,1,2,0.00,3.96,7.28,15.79,29.12,58.26,127.17,156.53,240.49,501.84,771.37,1259.92,1451.07,1957.12,2542.72,2863.52,3869.97,4685.33,5146.46,5306.17,5571.22,5666.09,8316.65,5538.06,2920.52,2979.06
484397.out,0.23,77.60,13.47,13.47,-,-,563,7,9,41,56844,SHM,1,2*cn333.scarf.rl.ac.uk,scarf11,1,2,0.00,4.02,8.00,16.09,32.19,64.13,128.00,157.30,247.88,477.83,811.09,1309.88,1371.96,1936.19,2529.08,2813.55,3828.48,4625.19,5088.12,5245.94,5469.68,5608.15,8198.15,5555.33,2895.11,2946.74
484395.out,0.23,78.00,13.46,13.46,-,-,563,7,9,48,56844,SHM,1,2*cn338.scarf.rl.ac.uk,scarf11,1,2,0.00,3.93,7.86,15.66,31.47,63.05,124.82,156.29,245.33,490.77,809.01,1324.07,1441.49,1977.31,2575.39,2878.87,3875.00,4728.60,5214.07,5287.93,5508.46,5621.18,6941.42,5596.66,2885.99,2949.93
484403.out,0.25,66.54,13.39,13.39,-,-,562,7,9,48,56858,SHM,1,2*cn360.scarf.rl.ac.uk,scarf11,1,2,0.00,4.00,7.98,15.96,31.92,64.00,127.17,147.25,237.97,475.95,770.21,1353.60,1380.87,1976.36,2547.66,2814.27,3890.18,4687.42,5217.57,5339.14,5490.83,5615.66,5690.98,5582.35,3661.63,3525.46
484401.out,0.25,68.00,13.46,13.46,-,-,563,7,9,46,56859,SHM,1,2*cn335.scarf.rl.ac.uk,scarf11,1,2,0.00,4.00,7.98,16.02,31.98,64.10,126.92,158.96,249.09,497.21,788.91,1344.27,1421.48,1998.66,2603.32,2911.55,3935.27,4716.26,5254.20,5374.96,5617.13,5724.16,5703.58,5559.91,3582.21,3460.08
484404.out,0.14,74.00,13.46,13.46,-,-,563,7,9,52,56862,SHM,1,2*cn339.scarf.rl.ac.uk,scarf11,1,1,0.00,7.81,15.14,31.25,58.45,124.51,248.06,359.05,591.22,1170.95,2000.98,2384.86,2531.91,3557.87,4227.58,4498.94,6017.17,7617.25,8112.65,8287.89,8598.00,8836.15,8483.69,5779.93,3041.16,3018.81
484402.out,0.11,74.00,13.46,13.46,-,-,563,7,9,49,56862,SHM,1,2*cn343.scarf.rl.ac.uk,scarf11,1,1,0.00,6.40,15.31,25.79,61.54,122.61,244.27,361.33,577.23,1114.86,1888.43,2523.72,2564.81,3432.64,4247.04,4497.08,6011.37,7442.62,8266.66,8611.79,8772.47,8855.20,8465.97,5739.36,3031.43,3009.81
