File Name,T/V,N,NB,P,Q,Time,Gflops,CPU time (sec.),Max Memory (MB),Average Memory (MB),Total Requested Memory (MB),Delta Memory (MB),Max Swap (MB),Max Processes,Max Threads,Run time (sec.),Turnaround time (sec.),Protocols Seen,Number of Hosts,Hosts Used,Host Groups,Start Time,Exclusive
482687.out,WR11R2C4,44640,180,2,2,451.09,1.315e+02,1910.65,15587.86,12500.13,-,-,16542,13,15,483,5037,SHM-IBV,2,2*cn212.scarf.rl.ac.uk-2*cn203.scarf.rl.ac.uk,scarf16-scarf16,Thu Mar 23 12:47:16 2017,1
482636.out,WR11R2C4,44640,180,2,2,993.89,5.967e+01,4103.08,15554.64,14469.55,-,-,16407,13,15,1038,5173,SHM-TCP,2,2*cn404.scarf.rl.ac.uk-2*cn433.scarf.rl.ac.uk,scarf13-scarf13,Thu Mar 23 12:40:18 2017,1
482600.out,WR11R2C4,44640,180,2,2,1664.83,3.562e+01,6798.39,15543.80,14938.28,-,-,16451,12,14,1701,5200,SHM,1,4*cn055.scarf.rl.ac.uk,scarf10,Thu Mar 23 12:29:40 2017,1
482601.out,WR11R2C4,44640,180,2,2,1662.99,3.566e+01,6791.12,15545.16,14938.05,-,-,16451,12,14,1698,5211,SHM,1,4*cn056.scarf.rl.ac.uk,scarf10,Thu Mar 23 12:29:52 2017,1
482602.out,WR11R2C4,44640,180,2,2,1666.58,3.559e+01,6810.00,15547.89,14940.97,-,-,16451,12,14,1702,5215,SHM,1,4*cn049.scarf.rl.ac.uk,scarf10,Thu Mar 23 12:29:53 2017,1
482630.out,WR11R2C4,44640,180,2,2,1313.35,4.516e+01,5360.00,15540.52,14798.00,-,-,16449,12,14,1354,5496,SHM,1,4*cn365.scarf.rl.ac.uk,scarf12,Thu Mar 23 12:40:33 2017,1
482631.out,WR11R2C4,44640,180,2,2,1313.14,4.516e+01,5359.00,15541.89,14799.02,-,-,16449,12,14,1354,5526,SHM,1,4*cn374.scarf.rl.ac.uk,scarf12,Thu Mar 23 12:41:03 2017,1
482638.out,WR11R2C4,44640,180,2,2,931.58,6.366e+01,3833.66,15573.88,14373.57,-,-,16464,13,15,978,5528,SHM-IBV,2,2*cn413.scarf.rl.ac.uk-2*cn401.scarf.rl.ac.uk,scarf13-scarf13,Thu Mar 23 12:47:19 2017,1
482627.out,WR11R2C4,44640,180,2,2,1320.26,4.492e+01,5387.15,15543.87,14665.96,-,-,16438,13,15,1358,5582,SHM-IBV,2,2*cn375.scarf.rl.ac.uk-2*cn379.scarf.rl.ac.uk,scarf12-scarf12,Thu Mar 23 12:41:51 2017,1
482626.out,WR11R2C4,44640,180,2,2,1316.38,4.505e+01,5411.30,15545.96,14689.31,-,-,16440,13,15,1360,5592,SHM-IBV,2,2*cn376.scarf.rl.ac.uk-2*cn380.scarf.rl.ac.uk,scarf12-scarf12,Thu Mar 23 12:41:56 2017,1
482637.out,WR11R2C4,44640,180,2,2,992.46,5.976e+01,4101.43,15556.61,14402.78,-,-,16406,13,15,1035,5592,SHM-TCP,2,2*cn434.scarf.rl.ac.uk-2*cn453.scarf.rl.ac.uk,scarf13-scarf13,Thu Mar 23 12:47:19 2017,1
482639.out,WR11R2C4,44640,180,2,2,928.25,6.389e+01,3820.17,15574.48,14355.90,-,-,16464,13,15,978,5781,SHM-IBV,2,2*cn410.scarf.rl.ac.uk-2*cn403.scarf.rl.ac.uk,scarf13-scarf13,Thu Mar 23 12:51:35 2017,1
482640.out,WR11R2C4,44640,180,2,2,930.24,6.375e+01,3829.00,15571.66,14362.36,-,-,16464,13,15,972,6158,SHM-IBV,2,2*cn405.scarf.rl.ac.uk-2*cn404.scarf.rl.ac.uk,scarf13-scarf13,Thu Mar 23 12:57:53 2017,1
482641.out,WR11R2C4,44640,180,2,2,930.74,6.372e+01,3836.29,15574.48,13911.45,-,-,16465,13,15,967,6513,SHM-IBV,2,2*cn433.scarf.rl.ac.uk-2*cn413.scarf.rl.ac.uk,scarf13-scarf13,Thu Mar 23 13:03:47 2017,1
482642.out,WR11R2C4,44640,180,2,2,929.04,6.384e+01,3826.04,15574.85,14368.23,-,-,16464,13,15,971,6561,SHM-IBV,2,2*cn401.scarf.rl.ac.uk-2*cn434.scarf.rl.ac.uk,scarf13-scarf13,Thu Mar 23 13:04:36 2017,1
482632.out,WR11R2C4,44640,180,2,2,1319.56,4.494e+01,5384.00,15542.40,14796.29,-,-,16449,12,14,1362,6859,SHM,1,4*cn365.scarf.rl.ac.uk,scarf12,Thu Mar 23 13:03:08 2017,1
